Technologies,Percentage
 SQL,27.697756788665878
 Communication,19.33884297520661
 Tableau,16.0724124360488
 Excel,15.718221172766627
 Python,15.47422274695002
 Data Analysis,15.025580480125935
 Power BI,12.380952380952381
 Project Management,11.869342778433687
 Data analysis,11.302636757182212
 Reporting,10.877607241243604
 Data Visualization,10.696576151121606
 R,9.342778433687524
 Problem Solving,7.666273120818576
 Teamwork,7.666273120818576
Data Analysis,7.233372687918142
 Project management,7.060212514757969
 Data visualization,7.0444706808343165
 Agile,6.509248327430145
 Collaboration,6.446280991735537
 Microsoft Office Suite,6.312475403384495
 Microsoft Excel,6.273120818575364
 PowerPoint,6.225895316804408
SQL,6.036993309720582
 Business Intelligence,5.871704053522235
Business Analysis,5.863833136560409
 Finance,5.430932703659976
 Statistics,5.415190869736324
 Forecasting,5.360094451003542
 Communication skills,4.990161353797717
 Microsoft Office,4.982290436835892
 Problemsolving,4.7146792601338054
 Accounting,4.6123573396300666
 Analytical skills,4.557260920897285
 Communication Skills,4.478551751279023
 Data Management,4.423455332546242
 Data Analytics,4.305391578118851
 Budgeting,4.203069657615112
 Leadership,4.18732782369146
 Data Mining,4.1086186540732
 Analytical Skills,4.085005903187721
 Documentation,4.006296733569461
 Data Modeling,3.935458480913026
 Business Analysis,3.715072805981897
 SAS,3.6363636363636362
 Troubleshooting,3.5970090515545063
 SAP,3.5970090515545063
 Requirements Gathering,3.502558048012593
 Data Warehousing,3.3844942935852025
 ETL,3.282172373081464
 Machine Learning,3.2428177882723332
 Scrum,3.2349468713105076
 PowerBI,3.2349468713105076
 Oracle,3.2192050373868555
 Attention to detail,3.1955922865013773
 Jira,3.124754033844943
 Data Governance,3.0617866981503346
 Testing,3.0381739472648563
 Word,3.014561196379378
Data analysis,3.014561196379378
 Data Quality,2.983077528532074
 Attention to Detail,2.9358520267611175
 Data management,2.9122392758756397
 Problem solving,2.9122392758756397
 Data mining,2.8807556080283354
 Analytics,2.833530106257379
 Business intelligence,2.7941755214482487
 Computer Science,2.715466351829988
 Visio,2.707595434868162
 Data Integration,2.6603699330972055
 Time Management,2.6367571822117277
 Statistical Analysis,2.6288862652499017
 Multitasking,2.6288862652499017
 Training,2.573789846517119
 Data modeling,2.565918929555293
 AWS,2.550177095631641
 Process Improvement,2.5423061786698153
 Research,2.5423061786698153
 Databases,2.5108225108225106
 ProblemSolving,2.4714679260133807
 Data Science,2.4321133412042504
 Stakeholder Management,2.4321133412042504
 Presentation Skills,2.4163715072805982
 Change Management,2.39275875639512
 Risk Management,2.377016922471468
 SharePoint,2.3612750885478158
 Java,2.3455332546241636
 JavaScript,2.3455332546241636
 Presentation skills,2.3376623376623376
 ERP,2.2746950019677294
 Time management,2.2668240850059034
 Critical Thinking,2.227469500196773
Data Analytics,2.227469500196773
 Salesforce,2.219598583234947
 Dashboards,2.203856749311295
 Statistical analysis,2.1959858323494688
 Confluence,2.125147579693034
 Financial Analysis,2.09366391184573
 Machine learning,2.09366391184573
 Data analytics,2.09366391184573
 Prioritization,2.085792994883904
 Financial analysis,2.062180243998426
 SQL Server,2.0543093270366
 Business analysis,2.0385674931129474
 Economics,2.0149547422274696
 Data Integrity,2.0149547422274696
 Snowflake,2.0070838252656436
 Azure,2.0070838252656436
 MS Excel,1.9913419913419914
 Data Interpretation,1.9834710743801653
Accounting,1.9598583234946871
 Microsoft Word,1.9283746556473829
 Critical thinking,1.920503738685557
 Interpersonal skills,1.920503738685557
 Interpersonal Skills,1.8811491538764264
 Adaptability,1.8417945690672965
 Mathematics,1.83392365210547
 Compliance,1.7945690672963401
 SDLC,1.786698150334514
 Financial modeling,1.786698150334514
 Automation,1.770956316410862
 Programming,1.770956316410862
 User Stories,1.7630853994490356
 Problemsolving skills,1.7473435655253837
 Software Development,1.7394726485635577
 Analysis,1.7316017316017316
 Quality Assurance,1.7316017316017316
 JIRA,1.7158598976780797
 Organization,1.7001180637544275
 Waterfall,1.7001180637544275
 Organizational skills,1.6922471467926012
 Data science,1.6843762298307752
 VBA,1.645021645021645
 Data Manipulation,1.6135379771743408
 Engineering,1.5899252262888626
 Microsoft PowerPoint,1.5741833923652107
 MS Office,1.5741833923652107
 Risk management,1.511216056670602
 Financial Modeling,1.511216056670602
 Customer Service,1.503345139708776
 Organizational Skills,1.503345139708776
 XML,1.503345139708776
 Decision Making,1.49547422274695
 Looker,1.487603305785124
 Linux,1.4482487209759938
 ServiceNow,1.4403778040141677
 HTML,1.4325068870523416
 Windows,1.4246359700905156
 Data Collection,1.4246359700905156
 Presentation,1.4010232192050374
 Alteryx,1.4010232192050374
 Data Security,1.4010232192050374
 Data Reporting,1.3931523022432113
 Access,1.3931523022432113
 Financial Reporting,1.3852813852813852
 User Acceptance Testing,1.361668634395907
 Data governance,1.353797717434081
 Google Analytics,1.353797717434081
 Process improvement,1.345926800472255
 Spark,1.3301849665486027
 Requirements gathering,1.322314049586777
Power BI,1.322314049586777
SAP,1.322314049586777
Python,1.3065722156631248
 Written Communication,1.2987012987012987
 Technical Writing,1.2829594647776466
 Outlook,1.2829594647776466
 Financial reporting,1.2829594647776466
 SSRS,1.2750885478158205
 Customer service,1.2672176308539946
 Planning,1.2357339630066904
 SPSS,1.2357339630066904
 Data integrity,1.2199921290830382
 CISSP,1.2199921290830382
Excel,1.204250295159386
 DAX,1.204250295159386
 Data Cleansing,1.19637937819756
 Hadoop,1.164895710350256
 Business Requirements,1.1491538764266036
 Analytical Thinking,1.1412829594647778
 Written communication,1.1412829594647778
 Stakeholder management,1.1412829594647778
 Information Technology,1.1412829594647778
 Verbal Communication,1.1334120425029517
 Azure DevOps,1.1255411255411256
 Data Mapping,1.1255411255411256
 A/B Testing,1.1255411255411256
 Data reporting,1.1255411255411256
 Data quality,1.1176702085792996
 Data Transformation,1.1097992916174735
 JSON,1.1097992916174735
 CSS,1.1097992916174735
 Data Extraction,1.0861865407319953
 Data warehousing,1.0861865407319953
 Change management,1.0783156237701692
 Data Validation,1.0783156237701692
 C++,1.0783156237701692
 Data manipulation,1.0704447068083431
 Microsoft SQL Server,1.0704447068083431
 Data collection,1.054702872884691
 Data integration,1.054702872884691
 CRM,1.046831955922865
 Cloud Computing,1.0389610389610389
 C#,1.0153482880755607
 Microsoft Access,0.9996064541519087
 Healthcare,0.9996064541519087
 SSIS,0.9996064541519087
 Business Administration,0.9996064541519087
 Negotiation,0.9996064541519087
Microsoft Excel,0.9917355371900827
 Data Engineering,0.9917355371900827
Business Analyst,0.9917355371900827
 Manufacturing,0.9917355371900827
Business analysis,0.9838646202282565
 ERP Systems,0.9838646202282565
 Analytical thinking,0.9838646202282565
 ProblemSolving Skills,0.9838646202282565
 Kanban,0.9759937032664305
 Workday,0.9759937032664305
 Microsoft Power BI,0.9759937032664305
 Design,0.9681227863046045
Business Intelligence,0.9681227863046045
 Mentoring,0.9681227863046045
 Networking,0.9681227863046045
Financial Analysis,0.9445100354191263
 Relational databases,0.9366391184573003
 Agile Development,0.9366391184573003
 Innovation,0.9287682014954742
 Team Collaboration,0.9208972845336483
 Verbal communication,0.9208972845336483
 Root Cause Analysis,0.9208972845336483
Agile,0.9208972845336483
 Initiative,0.9130263675718221
 Git,0.905155450609996
 Big Data,0.905155450609996
 Business,0.905155450609996
 Hypothesis Testing,0.889413616686344
 Adobe Analytics,0.889413616686344
 Systems Analysis,0.889413616686344
Financial analysis,0.889413616686344
 Artificial Intelligence,0.8815426997245178
 Report Writing,0.8736717827626919
 Vendor Management,0.8736717827626919
 Pivot Tables,0.8736717827626919
Tableau,0.8736717827626919
 CPA,0.8736717827626919
 Auditing,0.8736717827626919
 Agile Methodology,0.8658008658008658
 Statistical Modeling,0.8658008658008658
 Payroll,0.8579299488390398
 DevOps,0.8579299488390398
 Data Cleaning,0.8579299488390398
 Stakeholder Engagement,0.8500590318772138
 Power Query,0.8500590318772138
 Data interpretation,0.8500590318772138
 Active Directory,0.8500590318772138
 Qlik,0.8500590318772138
 TSQL,0.8421881149153876
 System Analysis,0.8343171979535615
 Relational Databases,0.8343171979535615
 MS Office Suite,0.8264462809917356
 Variance analysis,0.8264462809917356
 Quality assurance,0.8185753640299096
 Modeling,0.8185753640299096
 Strategic Planning,0.8185753640299096
 CISM,0.8185753640299096
 Writing,0.8107044470680833
 MySQL,0.8107044470680833
 Six Sigma,0.8028335301062574
 ERP systems,0.7949626131444313
 Flexibility,0.7949626131444313
 NIST,0.7949626131444313
 Cybersecurity,0.7949626131444313
 Procurement,0.7870916961826053
 Financial Services,0.7870916961826053
 Data Migration,0.7870916961826053
 Business Process Improvement,0.7792207792207793
 Consulting,0.7792207792207793
 Variance Analysis,0.7713498622589532
 Report writing,0.7713498622589532
 Data Lineage,0.7713498622589532
 Market Research,0.7634789452971271
 Risk Assessment,0.7634789452971271
 TCP/IP,0.7634789452971271
 Cognos,0.755608028335301
 IT,0.755608028335301
 Software development,0.755608028335301
 Presentations,0.755608028335301
 Functional Specifications,0.755608028335301
 NoSQL,0.755608028335301
Business Systems Analysis,0.747737111373475
 Database Management,0.747737111373475
 Data Privacy,0.747737111373475
 Business Objects,0.739866194411649
 Accuracy,0.739866194411649
 ITIL,0.739866194411649
 Data Warehouse,0.7319952774498228
 Lean,0.7241243604879969
 Data extraction,0.7241243604879969
 Data validation,0.7162534435261708
 Decisionmaking,0.7162534435261708
 Spreadsheets,0.7083825265643447
 Business Process Modeling,0.7083825265643447
 Inventory Management,0.7083825265643447
 Data Architecture,0.7083825265643447
 Development,0.7005116096025187
 Security,0.7005116096025187
 Implementation,0.7005116096025187
 GCP,0.7005116096025187
 Advanced Excel,0.7005116096025187
 Business Acumen,0.6926406926406926
 HCM,0.6926406926406926
 Data Profiling,0.6926406926406926
 Business Analyst,0.6847697756788667
 User Training,0.6847697756788667
 SaaS,0.6847697756788667
 Information Systems,0.6847697756788667
 Metrics,0.6690279417552145
 Supply Chain Management,0.6690279417552145
 Computer science,0.6690279417552145
 Data cleansing,0.6611570247933884
 Audit,0.6611570247933884
 Statistical modeling,0.6532861078315624
 Business Requirements Gathering,0.6532861078315624
 DataDriven Decision Making,0.6454151908697363
Microsoft Office Suite,0.6454151908697363
Salesforce,0.6454151908697363
 Regulatory Compliance,0.6454151908697363
 Continuous Improvement,0.6454151908697363
 HIPAA,0.6454151908697363
 Trend Analysis,0.6454151908697363
 ISO,0.6454151908697363
 Business Analytics,0.6375442739079102
SAS,0.6375442739079102
 Databricks,0.6296733569460842
Project Management,0.6296733569460842
 Reports,0.6296733569460842
 Microsoft Visio,0.6296733569460842
 CCSP,0.6218024399842582
 PL/SQL,0.6218024399842582
 PowerShell,0.613931523022432
 Confidentiality,0.613931523022432
 APIs,0.613931523022432
 Technical writing,0.613931523022432
 UAT,0.613931523022432
 Marketing,0.613931523022432
 User stories,0.613931523022432
 A/B testing,0.6060606060606061
 English,0.6060606060606061
 System Design,0.6060606060606061
 Project Planning,0.6060606060606061
 Artificial intelligence,0.6060606060606061
 Integration,0.6060606060606061
 Bachelor's Degree,0.59818968909878
 Use Cases,0.59818968909878
 Teams,0.59818968909878
Workday,0.5903187721369539
 GAAP,0.5903187721369539
 Product Management,0.5903187721369539
 Decision making,0.5903187721369539
 Scripting,0.5903187721369539
 MS Access,0.5903187721369539
 Sales,0.5903187721369539
 EDI,0.582447855175128
 Business Process Analysis,0.582447855175128
 Microsoft Azure,0.582447855175128
 Facilitation,0.5745769382133018
 Business requirements,0.5745769382133018
 Data Processing,0.5745769382133018
 Data Catalog,0.5745769382133018
 BigQuery,0.5667060212514758
 Statistical Techniques,0.5667060212514758
 Underwriting,0.5667060212514758
 Teradata,0.5667060212514758
 Requirements Elicitation,0.5667060212514758
 Data processing,0.5588351042896498
 Pivot tables,0.5588351042896498
 Crystal Reports,0.5588351042896498
 Strategic planning,0.5588351042896498
 KPIs,0.5588351042896498
 Insurance,0.5588351042896498
 Process Mapping,0.5588351042896498
 Agile Methodologies,0.5588351042896498
 Data security,0.5509641873278237
 Visualization,0.5509641873278237
 Database management,0.5509641873278237
 Business acumen,0.5509641873278237
 Software Development Lifecycle,0.5509641873278237
Microsoft Office,0.5509641873278237
 Data transformation,0.5509641873278237
 Predictive Modeling,0.5509641873278237
 Strategic Thinking,0.5509641873278237
 MicroStrategy,0.5509641873278237
 Azure Application Gateways,0.5430932703659976
 .NET,0.5430932703659976
 Data mapping,0.5430932703659976
 Network Security Groups,0.5430932703659976
 Palo Alto Prisma,0.5430932703659976
 GDPR,0.5430932703659976
 Information Security,0.5430932703659976
 Oracle Financial,0.5430932703659976
 Database Design,0.5352223534041716
 Hive,0.5352223534041716
 Web Application Firewalls,0.5352223534041716
 VLOOKUP,0.5352223534041716
 Predictive modeling,0.5352223534041716
 HRIS,0.5352223534041716
 Hyperion,0.5352223534041716
 CrossFunctional Collaboration,0.5352223534041716
 Predictive Analytics,0.5352223534041716
 ArcGIS,0.5273514364423455
 Incident Response,0.5273514364423455
 API,0.5273514364423455
 Scheduling,0.5273514364423455
 Pandas,0.5273514364423455
 Google Sheets,0.5194805194805194
 Splunk,0.5194805194805194
 Root cause analysis,0.5194805194805194
 Service Now,0.5194805194805194
 Azure Policies,0.5116096025186935
 Informatica,0.5116096025186935
 AI,0.5116096025186935
 GIS,0.5037386855568674
 Metadata Management,0.5037386855568674
 Data Accuracy,0.5037386855568674
 Optimization,0.5037386855568674
 System Testing,0.49586776859504134
 CCSK,0.49586776859504134
 MS Project,0.49586776859504134
 Bachelor's degree,0.49586776859504134
 Data architecture,0.49586776859504134
 Data Presentation,0.48799685163321527
 Power Automate,0.48799685163321527
 Software,0.48799685163321527
 Logistics,0.48799685163321527
 Microsoft Outlook,0.48012593467138925
 Dashboarding,0.48012593467138925
 Storytelling,0.48012593467138925
 Coaching,0.48012593467138925
 System Administration,0.48012593467138925
 Data Dictionary,0.48012593467138925
 Banking,0.48012593467138925
 Functional Requirements,0.47225501770956313
 Market research,0.47225501770956313
 Requirements Analysis,0.47225501770956313
 Prototyping,0.47225501770956313
 Delinea (Thycotic),0.47225501770956313
 Deployment,0.47225501770956313
 Detailoriented,0.47225501770956313
 Agile methodology,0.47225501770956313
Finance,0.47225501770956313
Intelligence Analysis,0.47225501770956313
 SIEM,0.4643841007477371
 Visual Studio,0.4643841007477371
 Risk assessment,0.4643841007477371
 User acceptance testing,0.4643841007477371
 Regulatory compliance,0.4643841007477371
 Macros,0.4643841007477371
 Test Plans,0.4643841007477371
 System Integration,0.45651318378591105
 Data Standards,0.45651318378591105
 CBAP,0.45651318378591105
 MBA,0.45651318378591105
 Data Classification,0.45651318378591105
 Tax compliance,0.45651318378591105
 Gap Analysis,0.45651318378591105
 Creativity,0.45651318378591105
 Unit Testing,0.45651318378591105
 ETL Processes,0.45651318378591105
Data Governance,0.45651318378591105
 Microsoft Project,0.45651318378591105
 Cost Analysis,0.44864226682408503
 Trend analysis,0.44864226682408503
 Financial Planning,0.44864226682408503
GIS,0.44864226682408503
 System Implementation,0.44864226682408503
 KPI,0.44864226682408503
 Integration Testing,0.44864226682408503
 Software Development Life Cycle,0.4407713498622589
 DecisionMaking,0.4407713498622589
 Information technology,0.4407713498622589
 Benchmarking,0.4407713498622589
 Stakeholder engagement,0.4407713498622589
 Quantitative Analysis,0.4407713498622589
 VLookups,0.4407713498622589
 Wireframes,0.4407713498622589
 MS Word,0.4329004329004329
 Acceptance Criteria,0.4329004329004329
 NetSuite,0.4329004329004329
 Software Testing,0.4329004329004329
 Strategic thinking,0.4329004329004329
 Risk Analysis,0.4329004329004329
 Operations,0.4329004329004329
 Human Resources,0.4250295159386069
 Technical Skills,0.4250295159386069
 Data Modelling,0.4250295159386069
 Database design,0.4250295159386069
 Workflows,0.4250295159386069
 Data presentation,0.4250295159386069
 Configuration,0.4250295159386069
 Data Stewardship,0.4250295159386069
 Excise tax,0.4250295159386069
